,0
0,beerbongs & bentleys
1,Black Panther: The Album
2,
3,"Is You Ready (From the ""Mile 22"" Original Motion Picture Soundtrack) - Single"
4,Sweet Caroline - Single
5,No Stylist - Single
6,Poland - Single
7,CASH COW - Single
8,Pink Tape
9,DRIP SEASON 4EVER
10,Nayaab
11,UTOPIA
12,ASTROWORLD
13,Lahore - Single
14,VULTURES 1
15,MoonChild Era
16,Hindi Gaane
17,Northsbest (Extended)
18,Lemonade (feat. NAV) - Single
19,MONOPOLY MOVES
20,Search & Rescue - Single
21,"WHATS POPPIN (Remix) [feat. DaBaby, Tory Lanez & Lil Wayne] - Single"
22,GREECE (feat. Drake) - Single
23,An Action Hero (Original Motion Picture Soundtrack) - EP
24,Actual Life (April 14 - December 17 2020)
25,Love Tape (Vol.1) - EP
26,Birds In The Trap Sing McKnight
27,Diva (feat. Lil Tecca) - Single
28,SOS
29,Farzi (Original Motion Picture Soundtrack) - Single
30,Rodeo
31,Down In Atlanta - Single
32,Collection One
33,FRANCHISE (feat. Young Thug & M.I.A.) - Single
34,Graduation
35,Viva La Vida or Death and All His Friends
36,My Turn (Deluxe)
37,Cole World: The Sideline Story
38,Losing It - Single
39,Aalas Ka Pedh
40,Championships
41,Love Tonight (David Guetta Remix) - Single
42,Heaven Or Hell
43,Karwaan (Original Motion Picture Soundtrack)
44,Pew Pew! - Single
45,The Perfect LUV Tape
46,Please Excuse Me For Being Antisocial
47,101 - Single
48,Joota Japani - Single
49,Beauty Behind the Madness
50,Plata O Plomo
51,Hidden Gems - EP
52,Savage Mode
53,One Love
54,Follow You / Cutthroat - Single
55,Yaariyan (Original Motion Picture Soundtrack)
56,By the Sword - Single
57,"Elliot's Song (From ""Euphoria"" An HBO Original Series) - Single"
58,True
59,More Than You Know (Bonus Track Edition)
60,The Infamous
61,The Fast and the Furious: Tokyo Drift (Original Motion Picture Soundtrack)
62,Demons Protected By Angels
63,Don’t Get Too Close
64,So Much Fun (Deluxe)
65,After Hours
66,Her Loss
67,Ends & Begins
68,Cold Water (feat. Justin Bieber & MØ) - Single
69,Paradise Again
70,Kabir Singh (Original Motion Picture Soundtrack)
71,Stoney (Deluxe)
72,Drip Harder
73,Sab Chahiye
74,iSouljaBoyTellem
