,0
0,beerbongs & bentleys
1,Black Panther: The Album
2,
3,Pink Tape
4,DRIP SEASON 4EVER
5,Nayaab
6,UTOPIA
7,ASTROWORLD
8,VULTURES 1
9,MoonChild Era
10,Hindi Gaane
11,Northsbest (Extended)
12,MONOPOLY MOVES
13,An Action Hero (Original Motion Picture Soundtrack) - EP
14,Actual Life (April 14 - December 17 2020)
15,Love Tape (Vol.1) - EP
16,Birds In The Trap Sing McKnight
17,SOS
18,Rodeo
19,Collection One
20,Graduation
21,Viva La Vida or Death and All His Friends
22,My Turn (Deluxe)
23,Cole World: The Sideline Story
24,Aalas Ka Pedh
25,Championships
26,Heaven Or Hell
27,Karwaan (Original Motion Picture Soundtrack)
28,The Perfect LUV Tape
29,Please Excuse Me For Being Antisocial
30,Beauty Behind the Madness
31,Plata O Plomo
32,Hidden Gems - EP
33,Savage Mode
34,One Love
35,Yaariyan (Original Motion Picture Soundtrack)
36,True
37,More Than You Know (Bonus Track Edition)
38,The Infamous
39,The Fast and the Furious: Tokyo Drift (Original Motion Picture Soundtrack)
40,Demons Protected By Angels
41,Don’t Get Too Close
42,So Much Fun (Deluxe)
43,After Hours
44,Her Loss
45,Ends & Begins
46,Paradise Again
47,Kabir Singh (Original Motion Picture Soundtrack)
48,Stoney (Deluxe)
49,Drip Harder
50,Sab Chahiye
51,iSouljaBoyTellem
52,"Tomorrowland 2022: NERVO at Mainstage, Weekend 1 (DJ Mix)"
53,"Honestly, Nevermind"
54,Hall of Fame (Deluxe)
55,International Villager
56,TIMELESS
57,Hollywood's Bleeding
58,Certified Lover Boy
59,Justice
60,Meet the Woo 2 (Deluxe)
61,ROOM202 - EP
62,Uri - The Surgical Strike (Original Motion Picture Soundtrack) - EP
63,Quest For Fire
64,Duur
65,NOT ALL HEROES WEAR CAPES
66,Life of a DON
67,Top Gun (Original Motion Picture Soundtrack) [Special Expanded Edition]
68,Legends Never Die (Video Version)
69,iDon
70,Chris Brown (Expanded Edition)
71,Come Home The Kids Miss You
72,Dying to Live
73,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)
74,Rangtaali 2 - Non Stop Garba
75,Hounds of Love (2018 Remaster)
76,Kota Factory: Season 3 (Music from the Netflix Series)
