,Album ID,Title,Date Created,Date Created In Library,Visible,Catalog Identifiers - Album,Favorite Album - Status,Favorite Album - Date
0,l.00DcEq9,Justwanna - Single,2024-07-21T14:54:54Z,2024-07-21T14:54:54Z,True,1744026852,,
4,l.0BAG9lc,Closer (Hedex Remix) - Single,2024-07-22T02:18:17Z,2024-07-22T02:18:17Z,False,1694924605,,
8,l.0FbFWMh,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"") - Single",2023-03-27T05:36:50Z,2023-03-27T05:36:50Z,True,1675505027,,
9,l.0HYH6ms,The Business (Vintage Culture & Dubdogz Remix) - Single,2023-07-12T23:53:44Z,2023-07-12T23:53:44Z,True,1561054536,,
10,l.0HaHNMp,Atmosphere - Single,2023-12-22T07:24:46Z,2023-12-22T07:24:46Z,True,1754198963,,
11,l.0It377v,Together - Single,2024-07-22T02:18:17Z,2024-07-22T02:18:17Z,False,1729359813,,
12,l.0L7MEFh,Bure Din - Single (feat. Mick Jenkins) - Single,2024-06-16T23:30:40Z,2024-06-16T23:30:40Z,True,1752107720,,
13,l.0Oz9LJ6,Papa Hai - Single,2021-04-22T18:50:48Z,2021-04-22T18:50:48Z,True,1558854491,,
15,l.0TrDTpn,SIDE2SIDE - Single,2024-07-21T14:42:51Z,2024-07-21T14:42:51Z,True,1687883777,,
16,l.0Uzn1H4,Voice Notes - Single,2024-07-22T02:18:20Z,2024-07-22T02:18:20Z,False,1725470449,,
17,l.0YNKURx,Six Feet Under (Techno) - Single,2025-04-18T17:49:38Z,2025-04-18T17:49:38Z,True,1802227127,,
18,l.0Ycdp1d,One Last Time - Single,2022-11-01T21:23:33Z,2022-11-01T21:23:33Z,True,1499706946,,
21,l.0cBotK,KILL DEM - Single,2024-09-23T06:28:44Z,2024-09-23T06:28:44Z,True,1641743699,,
22,l.0eRxVrp,Baby again.. - Single,2023-04-12T16:12:50Z,2023-04-12T16:12:50Z,True,1676442468,,
25,l.0odzKn,Badass Ravi Kumar Theme Track (Original Motion Picture Soundtrack) - Single,2025-02-23T06:52:57Z,2025-02-23T06:52:57Z,True,1788882169,,
29,l.12ZQhPq,Go Like (D&B Mix) - Single,2024-07-22T02:18:20Z,2024-07-22T02:18:20Z,False,1460612940,,
32,l.1Bvy8C8,Without Me (feat. Juice WRLD) - Single,2021-11-10T20:37:26Z,2021-11-10T20:37:26Z,False,,,
37,l.1F6XaS8,Push Ups - Single,2024-04-20T00:32:04Z,2024-04-20T00:32:04Z,True,1742141867,,
38,l.1GZS266,Disconnect (Extended Mix) - Single,2023-09-08T00:18:16Z,2023-09-08T00:18:16Z,True,1698512761,,
41,l.1OqTMG9,To The Beat - Single,2024-04-24T02:42:13Z,2024-04-24T02:42:13Z,True,1737256243,,
43,l.1Po5bd4,True Stories - Single,2023-06-21T00:45:52Z,2023-06-21T00:45:52Z,True,1691843410,,
46,l.1Tofu2m,Did It First - Single,2024-07-14T06:02:09Z,2024-07-14T06:02:09Z,True,1756202978,,
47,l.1VasNpn,Khoya (feat. Aseem) - Single,2023-07-18T01:21:22Z,2023-07-18T01:21:22Z,True,1506046817,,
49,l.1b1uP9v,Die for You (Zedd Remix) - Single,2023-04-06T02:41:51Z,2023-04-06T02:41:51Z,False,,,
51,l.1ga0O87,Woke Up in Love - Single,2025-03-15T02:56:44Z,2025-03-15T02:56:44Z,False,1643021167,,
52,l.1hBcoIv,VULTURES (feat. Bump J & Lil Durk) - Single,2024-11-21T15:44:04Z,2024-11-21T15:44:04Z,False,,,
54,l.1n0PEiq,Bad Habits - Single,2021-09-18T09:08:41Z,2021-09-18T09:08:41Z,True,1571330207,,
56,l.1sszU41,Back Again (feat. Waka Flocka Flame) - Single,2022-09-22T08:13:36Z,2022-09-22T08:13:36Z,True,1288490870,,
57,l.1uoHbi4,Tick Tock - Single,2023-09-13T20:29:45Z,2023-09-13T20:29:45Z,True,1581846308,,
61,l.1zW5RD5,Miracle (Wilkinson Remix) - Single,2024-07-22T02:18:17Z,2024-07-22T02:18:17Z,True,1684750883,,
62,l.1zscZS5,October Passed Me By - Single,2025-01-06T17:03:46Z,2025-01-06T17:03:46Z,True,1647266181,,
63,l.20QGakx,Weakness - Single,2022-11-11T15:49:06Z,2022-11-11T15:49:06Z,True,1083693559,,
64,l.23XGkIs,Farzi (Original Motion Picture Soundtrack) - Single,2023-03-13T16:59:38Z,2023-03-13T16:59:38Z,True,1666343427,,
65,l.24eYUGm,This Moment - Single,2024-07-22T02:18:17Z,2024-07-22T02:18:17Z,False,1721138047,,
66,l.253yUGo,Bas Kya Ba (feat. DIVINE) - Single,2021-11-13T22:27:10Z,2021-11-13T22:27:10Z,False,,,
