Key,Count
Content Type,2152
Title,2152
Is Checked,2152
Is Purchased,2152
Track Identifier,2152
Skip Count,2152
Last Modified Date,2152
Date Added To iCloud Music Library,2152
Date Added To Library,2152
Track Play Count,2152
Track Year,2152
Track Count On Album,2139
Disc Count Of Album,2139
Disc Number Of Album,2139
Track Number On Album,2139
Is Part of Compilation,2138
Audio File Extension,2136
Track Duration,2136
Artist,2121
Genre,2116
Album,2083
Album Artist,2074
Apple Music Track Identifier,2071
Sort Name,2059
Sort Artist,2058
Release Date,2056
Purchased Track Identifier,2056
Copyright,2041
Sort Album,1999
Composer,1743
Last Played Date,1380
Date of Last Skip,1327
Playlist Only Track,366
Track Like Rating,203
Album Like Rating,146
Rating,114
Album Rating,114
Album Rating Method,111
Remember Playback Position,103
Display Work Name,103
Beats Per Minute,88
Comments,87
Grouping,87
Work Name,86
Movement Name,86
Movement Number,86
Movement Count,86
Sort Album Artist,8
Tag Matched Track Identifier,2
